ID: 102777; DES Number: 86956873; Time: 12:56:16
ID: 102637; DES Number: 82197971; Time: 12:57:00
ID: 102757; DES Number: 04223803; Time: 12:57:37
ID: 102758; DES Number: 82550903; Time: 12:58:31
ID: 102706; DES Number: 81039536; Time: 12:58:51
ID: 102778; DES Number: 20319270; Time: 12:59:31
ID: 102759; DES Number: 00573608; Time: 13:00:06
ID: 102895; DES Number: 81831105; Time: 14:03:56
ID: 102869; DES Number: 20104785; Time: 14:04:26
ID: 102819; DES Number: 80605166; Time: 14:04:41
ID: 102749; DES Number: 02000689; Time: 14:05:09
ID: 102750; DES Number: S0060414; Time: 14:05:55
ID: 102751; DES Number: 20305357; Time: 14:06:30
ID: 102820; DES Number: 01479476; Time: 14:06:49
ID: 102870; DES Number: 02031958; Time: 14:07:12
ID: 102896; DES Number: 00194916; Time: 14:07:34
ID: 102871; DES Number: 00257465; Time: 14:08:09
ID: 102762; DES Number: 81831090; Time: 14:08:47
ID: 102897; DES Number: 87418388; Time: 14:09:03
ID: 102763; DES Number: 07293394; Time: 14:09:54
ID: 102872; DES Number: 82199407; Time: 14:10:19
ID: 102821; DES Number: 00788893; Time: 14:12:19
ID: 102764; DES Number: 80335513; Time: 14:12:44
ID: 102873; DES Number: 08171897; Time: 14:13:02
ID: 102926; DES Number: 00014423; Time: 14:13:48
ID: 102874; DES Number: 00000000; Time: 14:15:06
ID: 102874; DES Number: 81831087; Time: 14:15:21
ID: 102823; DES Number: 02068066; Time: 14:15:58
ID: 102765; DES Number: 00992445; Time: 14:16:19
ID: 102927; DES Number: 20004828; Time: 14:16:39
ID: 102928; DES Number: 80324757; Time: 14:17:09
ID: 102928; DES Number: 80324757; Time: 14:17:26
ID: 102786; DES Number: 72392154; Time: 14:18:03
ID: 102834; DES Number: 00208995; Time: 14:19:20
ID: 102797; DES Number: 00023608; Time: 14:19:49
ID: 102929; DES Number: 00283414; Time: 14:20:18
ID: 102903; DES Number: 04022863; Time: 14:20:39
ID: 102904; DES Number: 02827425; Time: 14:21:25
ID: 102835; DES Number: 01996454; Time: 14:21:41
ID: 102930; DES Number: 20003129; Time: 14:22:01
ID: 102798; DES Number: 81947762; Time: 14:22:30
ID: 102836; DES Number: 86995935; Time: 14:23:00
ID: 102905; DES Number: 80325288; Time: 14:23:18
ID: 102799; DES Number: 41520/91; Time: 14:23:46
ID: 102931; DES Number: 51327017; Time: 14:24:09
ID: 102800; DES Number: 01999314; Time: 14:24:34
ID: 102906; DES Number: 83072550; Time: 14:24:58
ID: 102932; DES Number: 01996449; Time: 14:25:24
ID: 102860; DES Number: 81937852; Time: 14:25:43
ID: 102907; DES Number: 67711028; Time: 14:26:16
ID: 102933; DES Number: 82093234; Time: 14:26:42
